image_name,category_label,category_name,category_type,x_1,y_1,x_2,y_2,evaluation_status
img/Double-Breasted_Blazer/img_00000133.jpg,2,Blazer,1,42,22,260,300,train
img/Tailored_Woven_Blazer/img_00000082.jpg,2,Blazer,1,40,54,135,193,train
img/Faux_Leather_Shawl_Collar_Blazer/img_00000092.jpg,2,Blazer,1,17,75,126,231,train
img/Button-Front_Blazer/img_00000059.jpg,2,Blazer,1,53,71,125,139,train
img/Dropped-Collar_Blazer/img_00000082.jpg,2,Blazer,1,61,40,111,300,train
img/Tribal_Print_Linen_Blazer/img_00000031.jpg,2,Blazer,1,52,78,213,263,train
img/Faux_Snakeskin-Trimmed_Blazer/img_00000111.jpg,2,Blazer,1,23,91,172,254,train
img/Collarless_Draped-Front_Blazer/img_00000025.jpg,2,Blazer,1,47,98,204,253,train
img/Zippered_Shawl_Collar_Blazer/img_00000022.jpg,2,Blazer,1,70,87,255,270,train
img/Classic_One-Button_Blazer/img_00000063.jpg,2,Blazer,1,13,53,109,173,train
img/Longline_Boyfriend_Blazer/img_00000063.jpg,2,Blazer,1,13,43,228,300,train
img/Collarless_Draped-Front_Blazer/img_00000067.jpg,2,Blazer,1,59,50,155,142,train
img/Flat_Collar_Blazer/img_00000013.jpg,2,Blazer,1,13,84,179,266,train
img/Woven_Open-Front_Blazer/img_00000060.jpg,2,Blazer,1,66,76,248,273,train
img/Zippered_Shawl_Collar_Blazer/img_00000039.jpg,2,Blazer,1,52,50,146,158,train
img/Glen_Plaid_Blazer/img_00000119.jpg,2,Blazer,1,1,48,200,300,train
img/Oversized_Open-Front_Blazer/img_00000067.jpg,2,Blazer,1,62,40,112,251,train
img/Textured_Woven_Blazer/img_00000021.jpg,2,Blazer,1,63,45,164,137,train
img/Button-Front_Blazer/img_00000108.jpg,2,Blazer,1,34,39,276,283,train
img/Classic_Woven_Blazer/img_00000036.jpg,2,Blazer,1,27,82,173,237,train
img/Longline_Boyfriend_Blazer/img_00000058.jpg,2,Blazer,1,11,80,192,300,train
img/Open-Front_Collarless_Blazer/img_00000010.jpg,2,Blazer,1,21,71,220,279,train
img/Must-Have_Ruched_Blazer/img_00000114.jpg,2,Blazer,1,33,4,273,300,train
img/Abstract_Print_Draped_Blazer/img_00000098.jpg,2,Blazer,1,24,77,163,268,train
img/Classic_One-Button_Blazer/img_00000051.jpg,2,Blazer,1,62,49,162,147,train
img/Button-Front_Blazer/img_00000013.jpg,2,Blazer,1,56,78,199,287,train
img/Draped_Collar_Blazer/img_00000093.jpg,2,Blazer,1,12,69,191,256,train
img/Textured_Open_Front_Blazer/img_00000051.jpg,2,Blazer,1,1,67,200,241,train
img/Crepe_Shawl_Collar_Blazer/img_00000097.jpg,2,Blazer,1,12,92,208,300,train
img/Classic_Two-Button_Blazer/img_00000071.jpg,2,Blazer,1,30,73,209,288,train
img/Textured_Open_Front_Blazer/img_00000055.jpg,2,Blazer,1,70,53,238,266,train
img/Cropped_Open-Front_Blazer/img_00000103.jpg,2,Blazer,1,27,60,193,295,train
img/Open-Front_Linen_Blazer/img_00000040.jpg,2,Blazer,1,58,93,255,258,train
img/Abstract_Print_Draped_Blazer/img_00000041.jpg,2,Blazer,1,70,12,159,133,train
img/Zip_Pocket_Blazer/img_00000126.jpg,2,Blazer,1,27,67,238,300,train
img/Cuffed-Sleeve_Knit_Blazer/img_00000092.jpg,2,Blazer,1,20,65,187,231,train
img/Cuffed-Sleeve_Knit_Blazer/img_00000081.jpg,2,Blazer,1,29,34,118,180,train
img/Two-Button_Blazer/img_00000058.jpg,2,Blazer,1,1,27,188,284,train
img/Classic_Cuffed_Blazer/img_00000094.jpg,2,Blazer,1,55,94,153,177,train
img/Tulip_Front_Blazer/img_00000001.jpg,2,Blazer,1,12,65,191,263,train
img/Crepe_Shawl_Collar_Blazer/img_00000041.jpg,2,Blazer,1,77,72,168,146,train
img/Quilted_Open-Front_Blazer/img_00000050.jpg,2,Blazer,1,31,54,192,300,train
img/Longline_Side-Slit_Blazer/img_00000049.jpg,2,Blazer,1,56,32,194,270,train
img/Oversized_Two-Tone_Blazer/img_00000122.jpg,2,Blazer,1,66,81,122,211,train
img/Textured_Boyfriend_Blazer/img_00000081.jpg,2,Blazer,1,25,1,255,300,train
img/Single-Button_Blazer/img_00000100.jpg,2,Blazer,1,1,62,300,300,train
img/Zip_Pocket_Blazer/img_00000081.jpg,2,Blazer,1,1,52,101,163,train
img/Classic_Single-Button_Blazer/img_00000098.jpg,2,Blazer,1,33,72,203,288,train
img/Flat_Collar_Blazer/img_00000079.jpg,2,Blazer,1,23,37,102,125,train
img/Open-Front_Linen_Blazer/img_00000060.jpg,2,Blazer,1,45,125,219,297,train
img/Floral_and_Bird_Print_Blazer/img_00000107.jpg,2,Blazer,1,84,53,190,164,train
img/Flat_Collar_Blazer/img_00000043.jpg,2,Blazer,1,1,3,261,300,train
img/Zippered_Shawl_Collar_Blazer/img_00000112.jpg,2,Blazer,1,39,76,221,300,train
img/Button-Front_Blazer/img_00000025.jpg,2,Blazer,1,1,20,250,295,train
img/Classic_Cuffed_Blazer/img_00000014.jpg,2,Blazer,1,5,100,169,202,train
img/Watercolor_Floral_Print_Blazer/img_00000050.jpg,2,Blazer,1,31,59,165,292,train
img/Shawl_Collar_Blazer/img_00000016.jpg,2,Blazer,1,15,37,225,267,train
img/Tailored_Woven_Blazer/img_00000029.jpg,2,Blazer,1,23,71,177,266,train
img/Collarless_One-Button_Blazer/img_00000113.jpg,2,Blazer,1,52,69,198,218,train
img/Draped_Collar_Blazer/img_00000053.jpg,2,Blazer,1,11,14,225,271,train
img/Tuxedo-Inspired_Blazer/img_00000035.jpg,2,Blazer,1,19,37,79,70,train
img/Collarless_One-Button_Blazer/img_00000001.jpg,2,Blazer,1,64,72,213,271,train
img/Textured_Woven_Blazer/img_00000077.jpg,2,Blazer,1,27,71,164,224,train
img/Tribal_Print_Linen_Blazer/img_00000084.jpg,2,Blazer,1,36,83,163,191,train
img/Double-Breasted_Blazer/img_00000084.jpg,2,Blazer,1,5,27,285,300,train
img/Zippered_Shawl_Collar_Blazer/img_00000113.jpg,2,Blazer,1,48,80,161,242,train
img/Classic_Open-Front_Blazer/img_00000071.jpg,2,Blazer,1,8,43,232,263,train
img/Collarless_Faux_Leather-Sleeve_Blazer/img_00000133.jpg,2,Blazer,1,49,65,234,258,train
img/Floral_Print_Blazer/img_00000120.jpg,2,Blazer,1,53,1,270,215,train
img/Quilted_Open-Front_Blazer/img_00000087.jpg,2,Blazer,1,152,38,231,145,train
img/Open-Front_Linen_Blazer/img_00000009.jpg,2,Blazer,1,20,88,210,208,train
img/Glen_Plaid_Blazer/img_00000080.jpg,2,Blazer,1,77,64,226,257,train
img/Floral_and_Bird_Print_Blazer/img_00000103.jpg,2,Blazer,1,1,5,225,128,train
img/Double-Breasted_Blazer/img_00000071.jpg,2,Blazer,1,86,1,194,120,train
img/Two-Button_Blazer/img_00000052.jpg,2,Blazer,1,17,1,198,239,train
img/Ruched-Sleeve_Blazer/img_00000089.jpg,2,Blazer,1,64,76,244,278,train
img/Zip_Pocket_Blazer/img_00000050.jpg,2,Blazer,1,19,4,288,300,train
img/Longline_Slit_Blazer/img_00000009.jpg,2,Blazer,1,77,40,214,169,train
img/Classic_Open-Front_Blazer/img_00000008.jpg,2,Blazer,1,11,25,220,231,train
img/Single-Button_Blazer/img_00000024.jpg,2,Blazer,1,1,59,221,286,train
img/Ruched-Sleeve_Blazer/img_00000065.jpg,2,Blazer,1,12,29,220,215,train
img/Oversized_Two-Tone_Blazer/img_00000002.jpg,2,Blazer,1,47,84,197,300,train
